Ticker,Market,Ticker_name,Current_Price,Avg_Volume_30D,Market_Cap,PER,PBR,Dividend_Yield
095570,KOSPI,AJ네트웍스,4730,122556.2941,2.14046E+11,12.89,0.50999999,5.710000038
006840,KOSPI,AK홀딩스,13120,2699.823529,1.73808E+11,4.98,0.300000012,1.519999981
027410,KOSPI,BGF,3550,34853.64706,3.39795E+11,4.37,0.209999993,3.380000114
282330,KOSPI,BGF리테일,108300,44131,1.87185E+12,9.55,1.74000001,3.789999962
138930,KOSPI,BNK금융지주,9170,1264425.941,2.9384E+12,4.81,0.289999992,5.559999943
001460,KOSPI,BYC,33000,1390.176471,2.06123E+11,11.64,0.50999999,0.910000026
001465,KOSPI,BYC우,12780,5142.411765,27526203000,0,0,2.390000105
001040,KOSPI,CJ,109800,91295.94118,3.20363E+12,18.91,0.670000017,2.730000019
079160,KOSPI,CJ CGV,5700,668951.6471,9.43806E+11,0,1.659999967,0
00104K,KOSPI,CJ4우(전환),82900,11207.23529,3.50378E+11,0,0,3.680000067
000120,KOSPI,CJ대한통운,89800,83003.64706,2.04855E+12,8.67,0.5,0.560000002
011150,KOSPI,CJ씨푸드,3265,492642.5882,1.17314E+11,26.54,1.50999999,0
011155,KOSPI,CJ씨푸드1우,17540,248.6470588,3508000000,0,0,0
001045,KOSPI,CJ우,59000,4620.352941,1.33353E+11,0,0,5.170000076
097950,KOSPI,CJ제일제당,280500,43981.11765,4.2227E+12,11.65,0.629999995,1.960000038
097955,KOSPI,CJ제일제당 우,133000,3332.294118,1.76549E+11,0,0,4.170000076
000480,KOSPI,CR홀딩스,5740,25834.82353,2.69151E+11,410,0.400000006,7.139999866
000590,KOSPI,CS홀딩스,67800,705.8235294,78273879600,4.49,0.25999999,0.74000001
012030,KOSPI,DB,1476,1982443.529,2.96933E+11,13.92,0.709999979,0
016610,KOSPI,DB금융투자,5600,572753.8824,2.377E+11,37.09,0.230000004,3.569999933
005830,KOSPI,DB손해보험,110200,187082.4118,7.80216E+12,3.81,0.649999976,4.809999943
000990,KOSPI,DB하이텍,40150,329478.7059,1.7826E+12,6.43,0.959999979,1.440000057
139130,KOSPI,DGB금융지주,8060,501125.1176,1.36332E+12,3.7,0.230000004,6.820000172
001530,KOSPI,DI동일,38300,153178.2353,9.6576E+11,233.54,1.269999981,0.649999976
000210,KOSPI,DL,43950,57135.23529,9.21011E+11,0,0.25999999,2.279999971
000215,KOSPI,DL우,24450,3020.294118,41225511750,0,0,4.289999962
375500,KOSPI,DL이앤씨,29700,199663.2353,1.1492E+12,6.35,0.25,1.679999948
37550L,KOSPI,DL이앤씨2우(전환),21000,1804.882353,44350971000,0,0,2.380000114
37550K,KOSPI,DL이앤씨우,15910,4316.705882,33631910350,0,0,3.460000038
007340,KOSPI,DN오토모티브,19200,112942.2353,1.16285E+12,3.01,0.730000019,3.130000114
004840,KOSPI,DRB동일,4605,11485.05882,91777650000,5.77,0.230000004,2.170000076
155660,KOSPI,DSR,3875,8435,62000000000,3.55,0.289999992,1.549999952
069730,KOSPI,DSR제강,3735,12337.52941,53784000000,4.15,0.280000001,1.610000014
017860,KOSPI,DS단석,76400,50415.35294,4.47811E+11,9.59,1.610000014,0
017940,KOSPI,E1,76200,12200.29412,5.22732E+11,2.07,0.270000011,6.760000229
365550,KOSPI,ESR켄달스퀘어리츠,4740,369319.2941,1.01004E+12,,,
383220,KOSPI,F&F,66800,159443.8235,2.55891E+12,5.99,1.970000029,2.539999962
007700,KOSPI,F&F홀딩스,13830,10812.17647,5.40952E+11,4.42,0.25,2.890000105
114090,KOSPI,GKL,11460,271899.4118,7.08866E+11,16.16,1.720000029,3.079999924
078930,KOSPI,GS,42550,178962.5294,3.95355E+12,3.1,0.300000012,5.880000114
006360,KOSPI,GS건설,18660,496555.3529,1.59695E+12,0,0.370000005,0
001250,KOSPI,GS글로벌,3805,11467910.76,3.14041E+11,11.29,0.74000001,0.660000026
007070,KOSPI,GS리테일,20800,134792.0588,2.17813E+12,120.23,0.529999971,2.400000095
078935,KOSPI,GS우,38250,32298.41176,68269594500,0,0,6.670000076
012630,KOSPI,HDC,11020,116951.9412,6.58354E+11,5.13,0.219999999,2.720000029
039570,KOSPI,HDC랩스,8030,8232.823529,2.0844E+11,14.01,0.709999979,5.599999905
089470,KOSPI,HDC현대EP,4195,96494.52941,1.33821E+11,5.53,0.360000014,3.339999914
294870,KOSPI,HDC현대산업개발,21500,651533.7647,1.41701E+12,8.03,0.460000008,3.25999999
009540,KOSPI,HD한국조선해양,185000,294156.0588,1.3093E+13,59.01,1.320000052,0
267250,KOSPI,HD현대,77300,159682.7059,6.10617E+12,20.65,0.75,4.789999962
267270,KOSPI,HD현대건설기계,53600,146533.1176,9.81179E+11,7,0.620000005,1.309999943
443060,KOSPI,HD현대마린솔루션,105800,71187.05882,4.70281E+12,28,17.63999939,2.359999895
071970,KOSPI,HD현대마린엔진,20550,431323.1765,6.97001E+11,18.55,2.599999905,0
010620,KOSPI,HD현대미포,100000,245697.3529,3.99421E+12,0,2.019999981,0
322000,KOSPI,HD현대에너지솔루션,24500,264411.4706,2.744E+11,0,0.74000001,0
042670,KOSPI,HD현대인프라코어,7560,913101.3529,1.45648E+12,6.52,0.829999983,1.460000038
267260,KOSPI,HD현대일렉트릭,321000,474726.6471,1.15711E+13,44.58,11.02000046,0.310000002
329180,KOSPI,HD현대중공업,179700,189659.8824,1.59525E+13,646.4,3.059999943,0
097230,KOSPI,HJ중공업,2640,76918.70588,2.19844E+11,0,0.649999976,0
014790,KOSPI,HL D&I,2445,70881.11765,92564279445,6.61,0.25,0
003580,KOSPI,HLB글로벌,4810,120446.1765,2.28425E+11,0,4.130000114,0
204320,KOSPI,HL만도,37400,283049.0588,1.7562E+12,12.94,0.790000021,1.600000024
060980,KOSPI,HL홀딩스,35100,11285.47059,3.56946E+11,6.7,0.330000013,5.699999809
011200,KOSPI,HMM,17060,1499037.176,1.27786E+13,10.23,0.550000012,4.099999905
035000,KOSPI,HS애드,6380,10480.52941,1.057E+11,6.38,0.569999993,7.050000191
002460,KOSPI,HS화성,9100,11999.05882,92365000000,3.95,0.219999999,5.489999771
487570,KOSPI,HS효성,41500,13296.70588,1.54626E+11,0,0,0
298050,KOSPI,HS효성첨단소재,277500,16231.23529,1.24319E+12,34.87,1.830000043,2.339999914
003560,KOSPI,IHQ,10760,0,62107613080,1.59,1.679999948,0
175330,KOSPI,JB금융지주,15710,646115,3.06476E+12,5.4,0.600000024,5.440000057
234080,KOSPI,JW생명과학,11070,76915.41176,1.75289E+11,6.09,1.080000043,4.519999981
001060,KOSPI,JW중외제약,27600,155881.1765,6.42692E+11,18.35,2.559999943,1.450000048
001067,KOSPI,JW중외제약2우B,56100,39,11779485300,0,0,0.709999979
001065,KOSPI,JW중외제약우,29800,278.4117647,10190139800,0,0,1.429999948
096760,KOSPI,JW홀딩스,3090,639109.8824,2.28428E+11,11.62,1.799999952,3.400000095
105560,KOSPI,KB금융,89400,1837554.706,3.51814E+13,7.72,0.589999974,3.420000076
432320,KOSPI,KB스타리츠,4335,78012,4.39631E+11,,,
002380,KOSPI,KCC,284000,33821.29412,2.52376E+12,9.82,0.400000006,2.819999933
344820,KOSPI,KCC글라스,40600,10747.88235,6.48403E+11,7.92,0.439999998,5.420000076
009070,KOSPI,KCTC,4775,1521059.353,1.4325E+11,5.32,0.519999981,1.470000029
009440,KOSPI,KC그린홀딩스,1006,1631624.412,22569589880,0,0.159999996,4.96999979
119650,KOSPI,KC코트렐,634,4457198.294,40366327958,0,0.790000021,0
092220,KOSPI,KEC,962,771667.4706,1.93134E+11,0,0.550000012,2.079999924
003620,KOSPI,KG모빌리티,5170,356657.8235,1.01541E+12,107.71,0.889999986,0
016380,KOSPI,KG스틸,6690,283564.0588,6.6906E+11,2.86,0.349999994,2.99000001
001390,KOSPI,KG케미칼,4290,132403.9412,2.93732E+11,2.97,0.319999993,2.799999952
033180,KOSPI,KH 필룩스,6630,0,1.25331E+11,0,0.239999995,0
015590,KOSPI,KIB플러그에너지,395,1244730.882,93607709880,6.37,0.730000019,0
001940,KOSPI,KISCO홀딩스,19710,9512.588235,3.18836E+11,2.99,0.230000004,4.570000172
025000,KOSPI,KPX케미칼,47850,7234.352941,2.31594E+11,3.51,0.360000014,6.269999981
092230,KOSPI,KPX홀딩스,56400,3133.941176,2.3827E+11,2.64,0.239999995,6.210000038
000040,KOSPI,KR모터스,546,151691.8824,32832545928,0,0.879999995,0
044450,KOSPI,KSS해운,9200,42123.41176,2.1239E+11,12.19,0.49000001,3.799999952
030200,KOSPI,KT,40150,703802.4706,1.01187E+13,9.93,0.589999974,4.880000114
033780,KOSPI,KT&G,103500,373525.6471,1.34884E+13,13.2,1.269999981,5.019999981
058850,KOSPI,KTcs,3040,4754122.294,1.29762E+11,7.88,0.600000024,3.289999962
058860,KOSPI,KTis,2715,1990240.353,94487430000,5.97,0.409999996,4.420000076
093050,KOSPI,LF,15330,50704.88235,4.48249E+11,5.29,0.289999992,4.570000172
003550,KOSPI,LG,78500,182586.7059,1.23481E+13,9.77,0.469999999,3.950000048
034220,KOSPI,LG디스플레이,10420,1789841.941,5.21E+12,0,0.560000002,0
051900,KOSPI,LG생활건강,353500,77515.58824,5.52103E+12,41.52,1.090000033,0.99000001
051905,KOSPI,LG생활건강우,151400,5762.647059,3.17894E+11,0,0,2.339999914
373220,KOSPI,LG에너지솔루션,436500,370047.2941,1.02141E+14,82.56,5.059999943,0
003555,KOSPI,LG우,59900,3997.058824,1.80995E+11,0,0,5.260000229
032640,KOSPI,LG유플러스,9680,1055149.706,4.2264E+12,6.68,0.49000001,6.710000038
011070,KOSPI,LG이노텍,204000,176420.8235,4.82809E+12,8.54,1.019999981,1.279999971
066570,KOSPI,LG전자,98000,622563.8824,1.60375E+13,24.79,0.899999976,0.819999993
066575,KOSPI,LG전자우,48800,39510.82353,8.38676E+11,0,0,1.74000001
037560,KOSPI,LG헬로비전,2655,119652.9412,2.05621E+11,0,0.360000014,4.519999981
051910,KOSPI,LG화학,361000,329974.0588,2.54838E+13,21.13,0.879999995,0.970000029
051915,KOSPI,LG화학우,251500,21520.94118,1.93373E+12,0,0,1.409999967
079550,KOSPI,LIG넥스원,244500,274421.4706,5.379E+12,30.46,5.059999943,0.800000012
006260,KOSPI,LS,123900,262801.2941,3.98958E+12,7.8,0.720000029,1.289999962
010120,KOSPI,LS ELECTRIC,161000,419156.8824,4.83E+12,22.96,2.75999999,1.74000001
000680,KOSPI,LS네트웍스,3510,104167,2.76599E+11,24.21,0.460000008,0
229640,KOSPI,LS에코에너지,25950,153396.2941,7.94716E+11,190.81,5.409999847,0.769999981
108320,KOSPI,LX세미콘,62900,36041.52941,1.02302E+12,10.11,1.049999952,2.859999895
001120,KOSPI,LX인터내셔널,29200,133079,1.13179E+12,8.97,0.460000008,4.110000134
108670,KOSPI,LX하우시스,42750,20969.70588,3.83368E+11,6.91,0.50999999,3.980000019
108675,KOSPI,LX하우시스우,23600,1032.764706,24362988000,0,0,7.420000076
383800,KOSPI,LX홀딩스,7110,68236.47059,5.42356E+11,7,0.330000013,3.799999952
38380K,KOSPI,LX홀딩스1우,8780,715.2352941,12865202300,0,0,3.190000057
023150,KOSPI,MH에탄올,5810,5933.647059,42869236060,8.09,0.540000021,4.300000191
035420,KOSPI,NAVER,166200,834501.1765,2.67224E+13,24.95,1.080000043,0.730000019
181710,KOSPI,NHN,16710,66210.47059,5.64232E+11,0,0.349999994,2.99000001
400760,KOSPI,NH올원리츠,3615,72128.35294,1.52553E+11,,,
005940,KOSPI,NH투자증권,13780,645806.2353,4.51284E+12,8.68,0.629999995,5.809999943
005945,KOSPI,NH투자증권우,11930,42080.52941,2.25131E+11,0,0,7.119999886
338100,KOSPI,NH프라임리츠,4535,35537.11765,84623100000,,,
034310,KOSPI,NICE,11130,26606.41176,4.17414E+11,101.18,0.519999981,4.050000191
030190,KOSPI,NICE평가정보,10700,95980.11765,6.43152E+11,11.31,1.710000038,3.829999924
008260,KOSPI,NI스틸,4125,36837.64706,1.17975E+11,2.35,0.5,3.029999971
004250,KOSPI,NPC,5180,57364,1.9021E+11,7.97,0.579999983,1.929999948
004255,KOSPI,NPC우,2700,4388.058824,14256000000,0,0,3.890000105
456040,KOSPI,OCI,80300,10011.29412,7.18885E+11,11.39,0.600000024,2.49000001
010060,KOSPI,OCI홀딩스,68500,48102.52941,1.34013E+12,1.87,0.360000014,4.820000172
178920,KOSPI,PI첨단소재,20400,116226.1176,5.99073E+11,0,1.899999976,0
005490,KOSPI,POSCO홀딩스,376000,389925.8235,3.10668E+13,16.8,0.529999971,2.660000086
010950,KOSPI,S-Oil,63200,223325.6471,7.11523E+12,7.76,0.810000002,2.690000057
010955,KOSPI,S-Oil우,43300,6525.176471,1.74149E+11,0,0,3.980000019
034120,KOSPI,SBS,15760,35769.47059,2.92368E+11,6.03,0.330000013,3.170000076
005090,KOSPI,SGC에너지,28550,24231.76471,4.11386E+11,9.67,0.569999993,5.949999809
001380,KOSPI,SG글로벌,2945,1711379.824,1.32419E+11,6.56,0.939999998,0
004060,KOSPI,SG세계물산,357,1871662.118,72265710720,0,0.289999992,0
001770,KOSPI,SHD,17810,2110.470588,21636977180,195.71,0.419999987,0.560000002
002360,KOSPI,SH에너지화학,557,3248530.059,61901487610,0,0.680000007,0
009160,KOSPI,SIMPAC,4100,56348.23529,2.68261E+11,0,0.379999995,2.440000057
033530,KOSPI,SJG세종,4765,25332.47059,1.32567E+11,31.98,0.310000002,3.150000095
123700,KOSPI,SJM,3410,22177.58824,53212702180,3.02,0.280000001,5.130000114
025530,KOSPI,SJM홀딩스,3600,17725.94118,53762428800,5.08,0.310000002,6.25
034730,KOSPI,SK,150600,157251.8824,1.09189E+13,0,0.400000006,3.319999933
011790,KOSPI,SKC,153800,286504.4118,5.82414E+12,0,3.710000038,0
018670,KOSPI,SK가스,167200,6255.294118,1.5433E+12,4.74,0.579999983,4.78000021
001740,KOSPI,SK네트웍스,5000,871123,1.10639E+12,0,0.469999999,4
006120,KOSPI,SK디스커버리,33600,17071.11765,6.31205E+11,3.46,0.219999999,5.059999943
006125,KOSPI,SK디스커버리우,31300,2300.058824,42519641500,0,0,5.590000153
210980,KOSPI,SK디앤디,8740,260595.5294,1.62716E+11,2.09,0.280000001,9.149999619
395400,KOSPI,SK리츠,4770,637451.5294,1.29178E+12,,,
302440,KOSPI,SK바이오사이언스,54000,81047.29412,4.1487E+12,185.57,2.430000067,0
326030,KOSPI,SK바이오팜,109100,353289.0588,8.54398E+12,0,30.12000084,0
402340,KOSPI,SK스퀘어,80800,382544.3529,1.08878E+13,0,0.720000029,0
361610,KOSPI,SK아이이테크놀로지,37700,375347.5882,2.68792E+12,32.73,1.110000014,0
100090,KOSPI,SK오션플랜트,15630,214116.1765,9.25227E+11,15.01,1.330000043,0
03473K,KOSPI,SK우,125300,1200.823529,70936715500,0,0,4.03000021
