Ticker,Name,Start Price,Current Price,Total Return (%),Month 1 Return (%),Month 2 Return (%),Month 3 Return (%),Month 4 Return (%),Month 5 Return (%),Month 6 Return (%),Month 7 Return (%),Month 8 Return (%),Month 9 Return (%),Month 10 Return (%),Month 11 Return (%),Month 12 Return (%),Month 1 Volatility (%),Month 2 Volatility (%),Month 3 Volatility (%),Month 4 Volatility (%),Month 5 Volatility (%),Month 6 Volatility (%),Month 7 Volatility (%),Month 8 Volatility (%),Month 9 Volatility (%),Month 10 Volatility (%),Month 11 Volatility (%),Month 12 Volatility (%),Month 1 Sharpe Ratio,Month 2 Sharpe Ratio,Month 3 Sharpe Ratio,Month 4 Sharpe Ratio,Month 5 Sharpe Ratio,Month 6 Sharpe Ratio,Month 7 Sharpe Ratio,Month 8 Sharpe Ratio,Month 9 Sharpe Ratio,Month 10 Sharpe Ratio,Month 11 Sharpe Ratio,Month 12 Sharpe Ratio,,abs,abssr1,abssr2,abssr3,abssr4,abssr5,abssr6,abssr7,abssr8,abssr9,abssr10,abssr11,abssr12,abssrsum
29460,케이씨,16020,20600,28.59,0.24,9.05,-7.86,0,-4.85,-6.18,-9.47,10.81,-1.8,9.65,2.96,15.82,0.34,2.82,3.3,2.59,2.37,1.98,3.11,4.17,2.48,3.34,1.6,2.91,0.71,3.21,-2.38,0,-2.05,-3.12,-3.05,2.59,-0.73,2.89,1.85,5.44,0.446666667,0.446666667,0.71,3.21,2.38,0,2.05,3.12,3.05,2.59,0.73,2.89,1.85,5.44,2.335
2100,경농,9340,9140,-2.14,-0.11,-0.32,-6.83,-5.71,6.75,0.2,-2.27,0.8,-0.2,-2.73,-1.26,11.17,0.69,0.75,2.16,1.07,1.2,0.65,0.62,0.5,0.58,0.57,1.14,7.3,-0.16,-0.43,-3.16,-5.34,5.62,0.31,-3.66,1.6,-0.34,-4.79,-1.11,1.53,-0.8275,0.8275,0.16,0.43,3.16,5.34,5.62,0.31,3.66,1.6,0.34,4.79,1.11,1.53,2.3375
278470,에이피알,317500,258500,-18.58,3.19,0.76,3.01,-34.08,9.32,27.85,13.15,-16.53,-6.14,0,0,0,6.5,3.89,4.61,4.4,4.51,3.97,4.33,5.36,1.61,0,0,0,0.49,0.2,0.65,-7.75,2.07,7.02,3.04,-3.08,-3.81,,,,-0.13,0.13,0.49,0.2,0.65,7.75,2.07,7.02,3.04,3.08,3.81,0,0,0,2.3425
155660,DSR,4280,3900,-8.88,-0.26,-2.37,-5.64,-1.39,-4.44,2.18,-1.55,-3.33,0.23,-1.38,-1.93,3.82,0.09,1.21,2.71,0.94,2.05,0.84,0.81,0.65,0.89,0.76,0.82,1.09,-2.89,-1.96,-2.08,-1.48,-2.17,2.6,-1.91,-5.12,0.26,-1.82,-2.35,3.5,-1.285,1.285,2.89,1.96,2.08,1.48,2.17,2.6,1.91,5.12,0.26,1.82,2.35,3.5,2.345
5870,휴니드,4595,8020,74.54,3.08,8.63,10.33,2.61,-9.88,-6.66,-0.29,-0.59,4.53,3.74,-2.07,-23.17,3.52,2.88,6.74,2.92,1.84,1.47,3.35,2.51,1.75,4.74,1.83,3.25,0.88,3,1.53,0.89,-5.37,-4.53,-0.09,-0.24,2.59,0.79,-1.13,-7.13,-0.734166667,0.734166667,0.88,3,1.53,0.89,5.37,4.53,0.09,0.24,2.59,0.79,1.13,7.13,2.3475
4440,삼일씨엔에스,4315,4090,-5.21,0,-5.98,-0.45,-2.25,2.51,-2.66,1.23,0.45,-8.23,9.28,-5.26,3.5,0,1.1,2.42,1.84,1.16,1.21,1.71,1.34,1.87,1.5,1.3,2.63,,-5.44,-0.19,-1.22,2.16,-2.2,0.72,0.34,-4.4,6.19,-4.05,1.33,-0.614545455,0.614545455,0,5.44,0.19,1.22,2.16,2.2,0.72,0.34,4.4,6.19,4.05,1.33,2.353333333
4450,삼화왕관,31400,31900,1.59,0.16,-1.08,2.52,0.48,-6.92,0.6,2.5,1.1,-4.78,6.13,-0.47,3.05,0.44,1.25,1.81,0.88,1.09,0.94,1.01,1.02,0.87,1.14,0.41,1.2,0.36,-0.86,1.39,0.55,-6.35,0.64,2.48,1.08,-5.49,5.38,-1.15,2.54,0.0475,0.0475,0.36,0.86,1.39,0.55,6.35,0.64,2.48,1.08,5.49,5.38,1.15,2.54,2.355833333
14285,금강공업우,9380,7900,-15.78,-0.88,-2.84,-3.91,-2.07,-0.46,-1.91,-4.19,-2.25,-0.43,0.87,-11.59,16.28,1.52,1.6,1.58,1.45,0.75,0.93,1.35,1.44,1.5,1.77,2.01,1.99,-0.58,-1.77,-2.47,-1.43,-0.61,-2.05,-3.1,-1.56,-0.29,0.49,-5.77,8.18,-0.913333333,0.913333333,0.58,1.77,2.47,1.43,0.61,2.05,3.1,1.56,0.29,0.49,5.77,8.18,2.358333333
21050,서원,1591,1314,-17.41,0.46,1.16,1.74,-6.38,-7.2,3.84,5.12,-2.8,2.19,-6.56,-6,10.05,0.38,1.38,3.4,1.41,1.42,6.65,2.09,2,5.28,1.64,2.33,2.1,1.21,0.84,0.51,-4.52,-5.07,0.58,2.45,-1.4,0.41,-4,-2.58,4.79,-0.565,0.565,1.21,0.84,0.51,4.52,5.07,0.58,2.45,1.4,0.41,4,2.58,4.79,2.363333333
94280,효성ITX,12020,12780,6.32,-0.16,0.16,-2.29,-6.03,0.6,3.77,0.08,3.97,0,-1.85,-0.16,3.58,0,1.25,1.7,1.18,1.04,1.18,0.56,0.57,0.52,0.54,0.52,0.5,,0.13,-1.35,-5.11,0.58,3.19,0.14,6.96,0,-3.43,-0.31,7.16,0.723636364,0.723636364,0,0.13,1.35,5.11,0.58,3.19,0.14,6.96,0,3.43,0.31,7.16,2.363333333
